
             QQQQ I  I CC
             3210 H  L LL
             3333      KR
             ------------------------
TIME              H  H   

       .0ns  0000 9  9 00
     25.0ns  0000 9  9 10
     50.0ns  0011 9  9 00
     75.0ns  0011 9  9 10
    100.0ns  0011 9  9 00
    125.0ns  0011 9  9 10
    150.0ns  0010 9  9 00
    175.0ns  0010 9  9 10
    200.0ns  0010 9  9 00
    225.0ns  0010 9  9 10
    250.0ns  0010 9  9 00
    275.0ns  0010 9  9 10
    300.0ns  0010 9  9 00
    325.0ns  0010 9  9 10
    350.0ns  0010 9  9 00
    375.0ns  0010 9  9 10
    400.0ns  0010 9  9 00
    425.0ns  0010 9  9 10
    450.0ns  0110 9  9 00
    475.0ns  0110 9  9 10
    500.0ns  0110 9  9 00
    525.0ns  0110 9  9 10
    550.0ns  0011 9  9 00
    575.0ns  0011 9  9 10
    600.0ns  0011 9  9 00
    625.0ns  0011 9  9 10
    650.0ns  0010 9  9 00
    675.0ns  0010 9  9 10
    700.0ns  0010 9  9 00
    725.0ns  0010 9  9 10
    750.0ns  0010 9  9 00
    775.0ns  0010 9  9 10
    800.0ns  0010 9  9 00
    825.0ns  0010 9  9 10
    850.0ns  0010 9  9 00
    875.0ns  0010 9  9 10
    900.0ns  0010 9  9 00
    925.0ns  0010 9  9 10
    950.0ns  0110 9  9 00
    975.0ns  0110 9  9 10
   1000.0ns  0110 9  9 00
   1025.0ns  0110 9  9 10
   1050.0ns  0001 9  9 00
   1075.0ns  0001 9  9 10
   1100.0ns  0001 9  9 00
   1125.0ns  0001 9  9 10
   1150.0ns  0000 9  9 00
   1175.0ns  0000 9  9 10
   1200.0ns  0000 9  9 00
   1225.0ns  0000 9  9 10
   1250.0ns  0000 9  9 00
   1275.0ns  0000 9  9 10
   1300.0ns  0000 9  9 00
   1325.0ns  0000 9  9 10
   1350.0ns  0000 9  9 00
   1375.0ns  0000 9  9 10
   1400.0ns  0000 9  9 00
   1425.0ns  0000 9  9 10
   1450.0ns  0100 9  9 00
   1475.0ns  0100 9  9 10
   1500.0ns  0100 9  9 00
   1525.0ns  0100 9  9 10
   1550.0ns  0001 9  9 00
   1575.0ns  0001 9  9 10
   1600.0ns  0001 9  9 00
   1625.0ns  0001 9  9 10
   1650.0ns  0000 9  9 00
   1675.0ns  0000 9  9 10
   1700.0ns  0000 9  9 00
   1725.0ns  0000 9  9 10
   1750.0ns  0000 9  9 00
   1775.0ns  0000 9  9 10
   1800.0ns  0000 9  9 00
   1825.0ns  0000 9  9 10
   1850.0ns  0000 9  9 00
   1875.0ns  0000 9  9 10
   1900.0ns  0000 9  9 00
