
              I  I QQQQCC
              H  L 3210LL
                   3333KR
             ------------------------
TIME          H  H       

       .0ns   9  9 000000
     25.0ns   9  9 001110
     50.0ns   9  9 001100
     75.0ns   9  9 001110
    100.0ns   9  9 001100
    125.0ns   9  9 001010
    150.0ns   9  9 001000
    175.0ns   9  9 001010
    200.0ns   9  9 001000
    225.0ns   9  9 001010
    250.0ns   9  9 001000
    275.0ns   9  9 001010
    300.0ns   9  9 001000
    325.0ns   9  9 001010
    350.0ns   9  9 001000
    375.0ns   9  9 001010
    400.0ns   9  9 001000
    425.0ns   9  9 011010
    450.0ns   9  9 011000
    475.0ns   9  9 011010
    500.0ns   9  9 011000
    525.0ns   9  9 001110
    550.0ns   9  9 001100
    575.0ns   9  9 001110
    600.0ns   9  9 001100
    625.0ns   9  9 001010
    650.0ns   9  9 001000
    675.0ns   9  9 001010
    700.0ns   9  9 001000
    725.0ns   9  9 001010
    750.0ns   9  9 001000
    775.0ns   9  9 001010
    800.0ns   9  9 001000
    825.0ns   9  9 001010
    850.0ns   9  9 001000
    875.0ns   9  9 001010
    900.0ns   9  9 001000
    925.0ns   9  9 011010
    950.0ns   9  9 011000
    975.0ns   9  9 011010
   1000.0ns   9  9 011000
   1025.0ns   9  9 000110
   1050.0ns   9  9 000100
   1075.0ns   9  9 000110
   1100.0ns   9  9 000100
   1125.0ns   9  9 000010
   1150.0ns   9  9 000000
   1175.0ns   9  9 000010
   1200.0ns   9  9 000000
   1225.0ns   9  9 000010
   1250.0ns   9  9 000000
   1275.0ns   9  9 000010
   1300.0ns   9  9 000000
   1325.0ns   9  9 000010
   1350.0ns   9  9 000000
   1375.0ns   9  9 000010
   1400.0ns   9  9 000000
   1425.0ns   9  9 010010
   1450.0ns   9  9 010000
   1475.0ns   9  9 010010
   1500.0ns   9  9 010000
   1525.0ns   9  9 000110
   1550.0ns   9  9 000100
   1575.0ns   9  9 000110
   1600.0ns   9  9 000100
   1625.0ns   9  9 000010
   1650.0ns   9  9 000000
   1675.0ns   9  9 000010
   1700.0ns   9  9 000000
   1725.0ns   9  9 000010
   1750.0ns   9  9 000000
